"pkdCode","group"
266,"Produkcja urządzeń napromieniowujących, sprzętu elektromedycznego i elektroterapeutycznego"
265,"Produkcja instrumentów i przyrządów pomiarowych, kontrolnych i nawigacyjnych; produkcja zegarków i zegarów"
267,"Produkcja instrumentów optycznych i sprzętu fotograficznego"
283,"Produkcja maszyn dla rolnictwa i leśnictwa"
284,"Produkcja maszyn i narzędzi mechanicznych"
289,"Produkcja pozostałych maszyn specjalnego przeznaczenia"
281,"Produkcja maszyn ogólnego przeznaczenia"
282,"Produkcja pozostałych maszyn ogólnego przeznaczenia"
321,"Produkcja wyrobów jubilerskich, biżuterii i podobnych wyrobów"
322,"Produkcja instrumentów muzycznych"
323,"Produkcja sprzętu sportowego"
324,"Produkcja gier i zabawek"
329,"Produkcja wyrobów, gdzie indziej niesklasyfikowana"
325,"Produkcja urządzeń, instrumentów oraz wyrobów medycznych, włączając dentystyczne"
331,"Naprawa i konserwacja metalowych wyrobów gotowych, maszyn i urządzeń"
332,"Instalowanie maszyn przemysłowych, sprzętu i wyposażenia"
381,"Zbieranie odpadów"
382,"Przetwarzanie i unieszkodliwianie odpadów"
383,"Odzysk surowców"
421,"Roboty związane z budową dróg kołowych i szynowych"
422,"Roboty związane z budową rurociągów, linii telekomunikacyjnych i elektroenergetycznych"
429,"Roboty związane z budową pozostałych obiektów inżynierii lądowej i wodnej"
431,"Rozbiórka i przygotowanie terenu pod budowę"
432,"Wykonywanie instalacji elektrycznych, wodno-kanalizacyjnych i pozostałych instalacji budowlanych"
433,"Wykonywanie robót budowlanych wykończeniowych"
439,"Pozostałe specjalistyczne roboty budowlane"
451,"Sprzedaż hurtowa i detaliczna pojazdów samochodowych, z wyłączeniem motocykli"
452,"Konserwacja i naprawa pojazdów samochodowych, z wyłączeniem motocykli"
453,"Sprzedaż hurtowa i detaliczna części i akcesoriów do pojazdów samochodowych, z wyłączeniem motocykli"
461,"Sprzedaż hurtowa realizowana na zlecenie"
462,"Sprzedaż hurtowa płodów rolnych i żywych zwierząt"
463,"Sprzedaż hurtowa żywności, napojów i wyrobów tytoniowych"
464,"Sprzedaż hurtowa artykułów użytku domowego"
465,"Sprzedaż hurtowa narzędzi technologii informacyjnej i komunikacyjnej"
466,"Sprzedaż hurtowa maszyn, urządzeń i dodatkowego wyposażenia"
467,"Pozostała wyspecjalizowana sprzedaż hurtowa"
469,"Sprzedaż hurtowa niewyspecjalizowana"
471,"Sprzedaż detaliczna prowadzona w niewyspecjalizowanych sklepach"
472,"Sprzedaż detaliczna żywności, napojów i wyrobów tytoniowych prowadzona w wyspecjalizowanych sklepach"
473,"Sprzedaż detaliczna paliw do pojazdów silnikowych na stacjach paliw"
474,"Sprzedaż detaliczna narzędzi technologii informacyjnej i komunikacyjnej prowadzona w wyspecjalizowanych sklepach"
475,"Sprzedaż detaliczna artykułów użytku domowego prowadzona w wyspecjalizowanych sklepach"
476,"Sprzedaż detaliczna wyrobów związanych z kulturą i rekreacją prowadzona w wyspecjalizowanych sklepach"
477,"Sprzedaż detaliczna pozostałych wyrobów prowadzona w wyspecjalizowanych sklepach"
478,"Sprzedaż detaliczna prowadzona na straganach i targowiskach"
479,"Sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami"
491,"Transport kolejowy pasażerski międzymiastowy"
492,"Transport kolejowy towarów"
493,"Pozostały transport lądowy pasażerski"
494,"Transport drogowy towarów oraz działalność usługowa związana z przeprowadzkami"
495,"Transport rurociągowy"
511,"Transport lotniczy pasażerski"
512,"Transport lotniczy towarów i transport kosmiczny"
521,"Magazynowanie i przechowywanie towarów"
522,"Działalność usługowa wspomagająca transport"
561,"Restauracje i pozostałe placówki gastronomiczne"
562,"Przygotowywanie żywności dla odbiorców zewnętrznych (katering) i pozostała gastronomiczna działalność usługowa"
563,"Przygotowywanie i podawanie napojów"
581,"Wydawanie książek i periodyków oraz pozostała działalność wydawnicza, z wyłączeniem w zakresie oprogramowania"
582,"Działalność wydawnicza w zakresie oprogramowania"
591,"Działalność związana z filmami, nagraniami wideo i programami telewizyjnymi"
592,"Działalność w zakresie nagrań dźwiękowych i muzycznych"
639,"Pozostała działalność usługowa w zakresie informacji"
641,"Pośrednictwo pieniężne"
642,"Działalność holdingów finansowych"
643,"Działalność trustów, funduszów i podobnych instytucji finansowych"
649,"Pozostała finansowa działalność usługowa, z wyłączeniem ubezpieczeń i funduszów emerytalnych"
651,"Ubezpieczenia"
652,"Reasekuracja"
653,"Fundusze emerytalne"
661,"Działalność wspomagająca usługi finansowe, z wyłączeniem ubezpieczeń i funduszów emerytalnych"
662,"Działalność wspomagająca ubezpieczenia i fundusze emerytalne"
663,"Działalność związana z zarządzaniem funduszami"
681,"Kupno i sprzedaż nieruchomości na własny rachunek"
682,"Wynajem i zarządzanie nieruchomościami własnymi lub dzierżawionymi"
683,"Działalność związana z obsługą rynku nieruchomości wykonywana na zlecenie"
701,"Działalność firm centralnych (head offices) i holdingów, z wyłączeniem holdingów finansowych"
702,"Doradztwo związane z zarządzaniem"
711,"Działalność w zakresie architektury i inżynierii oraz związane z nią doradztwo techniczne"
712,"Badania i analizy techniczne"
721,"Badania naukowe i prace rozwojowe w dziedzinie nauk przyrodniczych i technicznych"
722,"Badania naukowe i prace rozwojowe w dziedzinie nauk społecznych i humanistycznych"
731,"Reklama"
732,"Badanie rynku i opinii publicznej"
771,"Wynajem i dzierżawa pojazdów samochodowych, z wyłączeniem motocykli"
772,"Wypożyczanie i dzierżawa artykułów użytku osobistego i domowego"
773,"Wynajem i dzierżawa pozostałych maszyn, urządzeń oraz dóbr materialnych"
774,"Dzierżawa własności intelektualnej i podobnych produktów, z wyłączeniem prac chronionych prawem autorskim"
791,"Działalność agentów i pośredników turystycznych oraz organizatorów turystyki"
799,"Pozostała działalność usługowa w zakresie rezerwacji i działalności z nią związane"
811,"Działalność pomocnicza związana z utrzymaniem porządku w budynkach"
812,"Sprzątanie obiektów"
813,"Działalność usługowa związana z zagospodarowaniem terenów zieleni"
821,"Działalność związana z administracyjną obsługą biura, włączając działalność wspomagającą"
822,"Działalność centrów telefonicznych (call center)"
823,"Działalność związana z organizacją targów, wystaw i kongresów"
829,"Działalność komercyjna, gdzie indziej niesklasyfikowana"
841,"Administracja publiczna oraz polityka gospodarcza i społeczna"
842,"Usługi na rzecz całego społeczeństwa"
843,"Obowiązkowe zabezpieczenia społeczne"
851,"Placówki wychowania przedszkolnego"
852,"Szkoły podstawowe"
853,"Gimnazja, szkoły ponadgimnazjalne i szkoły ponadpodstawowe, z wyłączeniem szkół policealnych"
854,"Szkoły policealne oraz wyższe"
855,"Pozaszkolne formy edukacji"
856,"Działalność wspomagająca edukację"
861,"Działalność szpitali"
862,"Praktyka lekarska"
869,"Pozostała działalność w zakresie opieki zdrowotnej"
881,"Pomoc społeczna bez zakwaterowania dla osób w podeszłym wieku i osób niepełnosprawnych"
889,"Pozostała pomoc społeczna bez zakwaterowania"
910,"DZIAŁALNOŚĆ BIBLIOTEK, ARCHIWÓW, MUZEÓW ORAZ POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ"
931,"Działalność związana ze sportem"
932,"Działalność rozrywkowa i rekreacyjna"
941,"Działalność organizacji komercyjnych, pracodawców oraz organizacji profesjonalnych"
942,"Działalność związków zawodowych"
949,"Działalność pozostałych organizacji członkowskich"
951,"Naprawa i konserwacja komputerów i sprzętu komunikacyjnego"
952,"Naprawa i konserwacja artykułów użytku osobistego i domowego"
