"pkdCode","division"
64,"FINANSOWA DZIAŁALNOŚĆ USŁUGOWA, Z WYŁĄCZENIEM UBEZPIECZEŃ I FUNDUSZÓW EMERYTALNYCH"
65,"UBEZPIECZENIA, REASEKURACJA ORAZ FUNDUSZE EMERYTALNE, Z WYŁĄCZENIEM OBOWIĄZKOWEGO UBEZPIECZENIA SPOŁECZNEGO"
66,"DZIAŁALNOŚĆ WSPOMAGAJĄCA USŁUGI FINANSOWE ORAZ UBEZPIECZENIA I FUNDUSZE EMERYTALNE"
68,"DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI"
69,"DZIAŁALNOŚĆ PRAWNICZA, RACHUNKOWO-KSIĘGOWA I DORADZTWO PODATKOWE"
70,"DZIAŁALNOŚĆ FIRM CENTRALNYCH (HEAD OFFICES); DORADZTWO ZWIĄZANE Z ZARZĄDZANIEM"
71,"DZIAŁALNOŚĆ W ZAKRESIE ARCHITEKTURY I INŻYNIERII; BADANIA I ANALIZY TECHNICZNE"
72,"BADANIA NAUKOWE I PRACE ROZWOJOWE"
73,"REKLAMA, BADANIE RYNKU I OPINII PUBLICZNEJ"
74,"POZOSTAŁA DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA"
75,"DZIAŁALNOŚĆ WETERYNARYJNA"
77,"WYNAJEM I DZIERŻAWA"
78,"DZIAŁALNOŚĆ ZWIĄZANA Z ZATRUDNIENIEM"
80,"DZIAŁALNOŚĆ DETEKTYWISTYCZNA I OCHRONIARSKA"
81,"DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z UTRZYMANIEM PORZĄDKU W BUDYNKACH I ZAGOSPODAROWANIEM TERENÓW ZIELENI"
84,"ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE ZABEZPIECZENIA SPOŁECZNE"
85,"EDUKACJA"
86,"OPIEKA ZDROWOTNA"
87,"POMOC SPOŁECZNA Z ZAKWATEROWANIEM"
88,"POMOC SPOŁECZNA BEZ ZAKWATEROWANIA"
90,"DZIAŁALNOŚĆ TWÓRCZA ZWIĄZANA Z KULTURĄ I ROZRYWKĄ"
91,"DZIAŁALNOŚĆ BIBLIOTEK, ARCHIWÓW, MUZEÓW ORAZ POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ"
92,"DZIAŁALNOŚĆ ZWIĄZANA Z GRAMI LOSOWYMI I ZAKŁADAMI WZAJEMNYMI"
93,"DZIAŁALNOŚĆ SPORTOWA, ROZRYWKOWA I REKREACYJNA"
94,"DZIAŁALNOŚĆ ORGANIZACJI CZŁONKOWSKICH"
95,"NAPRAWA I KONSERWACJA KOMPUTERÓW I ARTYKUŁÓW UŻYTKU OSOBISTEGO I DOMOWEGO"
96,"POZOSTAŁA INDYWIDUALNA DZIAŁALNOŚĆ USŁUGOWA"
97,"GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW"
98,"GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY"
9900,"ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE"
