"pkdCode","class"
4665,"Sprzedaż hurtowa mebli biurowych"
9529,"Naprawa pozostałych artykułów użytku osobistego i domowego"
7311,"Działalność agencji reklamowych"
6491,"Leasing finansowy"
4721,"Sprzedaż detaliczna owoców i warzyw prowadzona w wyspecjalizowanych sklepach"
5813,"Wydawanie gazet"
5010,"Transport morski i przybrzeżny pasażerski "
2720,"Produkcja baterii i akumulatorów"
147,"Chów i hodowla drobiu"
9601,"Pranie i czyszczenie wyrobów włókienniczych i futrzarskich"
1412,"Produkcja odzieży roboczej"
9602,"Fryzjerstwo i pozostałe zabiegi kosmetyczne"
3523,"Handel paliwami gazowymi w systemie sieciowym"
3299,"Produkcja pozostałych wyrobów, gdzie indziej niesklasyfikowana"
8430,"Obowiązkowe zabezpieczenia społeczne"
9511,"Naprawa i konserwacja komputerów i urządzeń peryferyjnych"
3312,"Naprawa i konserwacja maszyn"
2822,"Produkcja urządzeń dźwigowych i chwytaków"
121,"Uprawa winogron"
4638,"Sprzedaż hurtowa pozostałej żywności, włączając ryby, skorupiaki i mięczaki"
9102,"Działalność muzeów"
2821,"Produkcja pieców, palenisk i palników piecowych"
4730,"Sprzedaż detaliczna paliw do pojazdów silnikowych na stacjach paliw"
1722,"Produkcja artykułów gospodarstwa domowego, toaletowych i sanitarnych"
1724,"Produkcja tapet"
1420,"Produkcja wyrobów futrzarskich"
2221,"Produkcja płyt, arkuszy, rur i kształtowników z tworzyw sztucznych"
2899,"Produkcja pozostałych maszyn specjalnego przeznaczenia, gdzie indziej niesklasyfikowana"
4322,"Wykonywanie instalacji wodno-kanalizacyjnych, cieplnych, gazowych i klimatyzacyjnych"
4110,"Realizacja projektów budowlanych związanych ze wznoszeniem budynków"
7911,"Działalność agentów i pośredników turystycznych"
1083,"Przetwórstwo herbaty i kawy"
2891,"Produkcja maszyn dla metalurgii"
4648,"Sprzedaż hurtowa zegarków, zegarów i biżuterii"
2445,"Produkcja pozostałych metali nieżelaznych"
3811,"Zbieranie odpadów innych niż niebezpieczne"
2752,"Produkcja nieelektrycznego sprzętu gospodarstwa domowego"
4222,"Roboty związane z budową linii telekomunikacyjnych i elektroenergetycznych"
4779,"Sprzedaż detaliczna artykułów używanych prowadzona w wyspecjalizowanych sklepach"
6619,"Pozostała działalność wspomagająca usługi finansowe, z wyłączeniem ubezpieczeń i funduszów emerytalnych"
1020,"Przetwarzanie i konserwowanie ryb, skorupiaków i mięczaków"
4725,"Sprzedaż detaliczna napojów alkoholowych i bezalkoholowych prowadzona w wyspecjalizowanych sklepach"
8425,"Ochrona przeciwpożarowa"
5221,"Działalność usługowa wspomagająca transport lądowy"
4726,"Sprzedaż detaliczna wyrobów tytoniowych prowadzona w wyspecjalizowanych sklepach"
7722,"Wypożyczanie kaset wideo, płyt CD, DVD itp."
4391,"Wykonywanie konstrukcji i pokryć dachowych"
2825,"Produkcja przemysłowych urządzeń chłodniczych i wentylacyjnych"
1413,"Produkcja pozostałej odzieży wierzchniej"
144,"Chów i hodowla wielbłądów i zwierząt wielbłądowatych"
4642,"Sprzedaż hurtowa odzieży i obuwia"
9003,"Artystyczna i literacka działalność twórcza"
9521,"Naprawa i konserwacja elektronicznego sprzętu powszechnego użytku"
4652,"Sprzedaż hurtowa sprzętu elektronicznego i telekomunikacyjnego oraz części do niego"
1103,"Produkcja cydru i pozostałych win owocowych"
4311,"Rozbiórka i burzenie obiektów budowlanych"
1089,"Produkcja pozostałych artykułów spożywczych, gdzie indziej niesklasyfikowana"
2365,"Produkcja cementu wzmocnionego włóknem"
2017,"Produkcja kauczuku syntetycznego w formach podstawowych"
2331,"Produkcja ceramicznych kafli i płytek"
4677,"Sprzedaż hurtowa odpadów i złomu"
2932,"Produkcja pozostałych części i akcesoriów do pojazdów silnikowych, z wyłączeniem motocykli"
1042,"Produkcja margaryny i podobnych tłuszczów jadalnych"
8413,"Kierowanie w zakresie efektywności gospodarowania"
4799,"Pozostała sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami"
2540,"Produkcja broni i amunicji"
4675,"Sprzedaż hurtowa wyrobów chemicznych"
6311,"Przetwarzanie danych; zarządzanie stronami internetowymi (hosting) i podobna działalność"
230,"Pozyskiwanie dziko rosnących produktów leśnych, z wyłączeniem drewna"
1812,"Pozostałe drukowanie"
4751,"Sprzedaż detaliczna wyrobów tekstylnych prowadzona w wyspecjalizowanych sklepach"
6312,"Działalność portali internetowych"
7420,"Działalność fotograficzna"
2120,"Produkcja leków i pozostałych wyrobów farmaceutycznych"
2894,"Produkcja maszyn dla przemysłu tekstylnego, odzieżowego i skórzanego"
6629,"Pozostała działalność wspomagająca ubezpieczenia i fundusze emerytalne"
4920,"Transport kolejowy towarów"
9004,"Działalność obiektów kulturalnych"
4511,"Sprzedaż hurtowa i detaliczna samochodów osobowych i furgonetek"
4662,"Sprzedaż hurtowa obrabiarek"
2443,"Produkcja ołowiu, cynku i cyny"
3320,"Instalowanie maszyn przemysłowych, sprzętu i wyposażenia"
7734,"Wynajem i dzierżawa środków transportu wodnego"
8810,"Pomoc społeczna bez zakwaterowania dla osób w podeszłym wieku i osób niepełnosprawnych"
2222,"Produkcja opakowań z tworzyw sztucznych"
4615,"Działalność agentów zajmujących się sprzedażą mebli, artykułów gospodarstwa domowego i drobnych wyrobów metalowych"
1073,"Produkcja makaronów, klusek, kuskusu i podobnych wyrobów mącznych"
9200,"DZIAŁALNOŚĆ ZWIĄZANA Z GRAMI LOSOWYMI I ZAKŁADAMI WZAJEMNYMI"
2731,"Produkcja kabli światłowodowych"
1419,"Produkcja pozostałej odzieży i dodatków do odzieży"
1910,"Wytwarzanie i przetwarzanie koksu"
8122,"Specjalistyczne sprzątanie budynków i obiektów przemysłowych"
2211,"Produkcja opon i dętek z gumy; bieżnikowanie i regenerowanie opon z gumy"
129,"Uprawa pozostałych roślin wieloletnich"
122,"Uprawa drzew i krzewów owocowych tropikalnych i podzwrotnikowych"
2811,"Produkcja silników i turbin, z wyłączeniem silników lotniczych, samochodowych i motocyklowych"
3011,"Produkcja statków i konstrukcji pływających"
4291,"Roboty związane z budową obiektów inżynierii wodnej"
7021,"Stosunki międzyludzkie (public relations) i komunikacja"
2521,"Produkcja grzejników i kotłów centralnego ogrzewania"
7732,"Wynajem i dzierżawa maszyn i urządzeń budowlanych"
4643,"Sprzedaż hurtowa elektrycznych artykułów użytku domowego"
4773,"Sprzedaż detaliczna wyrobów farmaceutycznych prowadzona w wyspecjalizowanych sklepach"
9491,"Działalność organizacji religijnych"
4754,"Sprzedaż detaliczna elektrycznego sprzętu gospodarstwa domowego prowadzona w wyspecjalizowanych sklepach"
1012,"Przetwarzanie i konserwowanie mięsa z drobiu"
9420,"Działalność związków zawodowych"
1106,"Produkcja słodu"
2364,"Produkcja zaprawy murarskiej"
8622,"Praktyka lekarska specjalistyczna"
2815,"Produkcja łożysk, kół zębatych, przekładni zębatych i elementów napędowych"
3600,"POBÓR, UZDATNIANIE I DOSTARCZANIE WODY"
7731,"Wynajem i dzierżawa maszyn i urządzeń rolniczych"
892,"Wydobywanie torfu"
2895,"Produkcja maszyn dla przemysłu papierniczego"
8553,"Pozaszkolne formy edukacji z zakresu nauki jazdy i pilotażu"
2823,"Produkcja maszyn i sprzętu biurowego, z wyłączeniem komputerów i urządzeń peryferyjnych"
4634,"Sprzedaż hurtowa napojów alkoholowych i bezalkoholowych"
9604,"Działalność usługowa związana z poprawą kondycji fizycznej"
5920,"Działalność w zakresie nagrań dźwiękowych i muzycznych"
6920,"Działalność rachunkowo-księgowa; doradztwo podatkowe"
8220,"Działalność centrów telefonicznych (call center)"
3102,"Produkcja mebli kuchennych"
3313,"Naprawa i konserwacja urządzeń elektronicznych i optycznych"
163,"Działalność usługowa następująca po zbiorach"
3315,"Naprawa i konserwacja statków i łodzi"
6832,"Zarządzanie nieruchomościami wykonywane na zlecenie"
119,"Pozostałe uprawy rolne inne niż wieloletnie"
7410,"Działalność w zakresie specjalistycznego projektowania"
8299,"Pozostała działalność wspomagająca prowadzenie działalności gospodarczej, gdzie indziej niesklasyfikowana"
2712,"Produkcja aparatury rozdzielczej i sterowniczej energii elektrycznej"
1520,"Produkcja obuwia"
4331,"Tynkowanie"
5030,"Transport wodny śródlądowy pasażerski "
2431,"Produkcja prętów ciągnionych na zimno"
5630,"Przygotowywanie i podawanie napojów"
2562,"Obróbka mechaniczna elementów metalowych"
2814,"Produkcja pozostałych kurków i zaworów"
5510,"Hotele i podobne obiekty zakwaterowania"
321,"Chów i hodowla ryb oraz pozostałych organizmów wodnych w wodach morskich"
6130,"Działalność w zakresie telekomunikacji satelitarnej"
3822,"Przetwarzanie i unieszkodliwianie odpadów niebezpiecznych"
2529,"Produkcja pozostałych zbiorników, cystern i pojemników metalowych"
2651,"Produkcja instrumentów i przyrządów pomiarowych, kontrolnych i nawigacyjnych"
1920,"Wytwarzanie i przetwarzanie produktów rafinacji ropy naftowej"
4636,"Sprzedaż hurtowa cukru, czekolady, wyrobów cukierniczych i piekarskich"
4772,"Sprzedaż detaliczna obuwia i wyrobów skórzanych prowadzona w wyspecjalizowanych sklepach"
6391,"Działalność agencji informacyjnych"
2352,"Produkcja wapna i gipsu"
6010,"Nadawanie programów radiofonicznych"
1394,"Produkcja wyrobów powroźniczych, lin, szpagatów i wyrobów sieciowych"
7312,"Działalność związana z reprezentowaniem mediów"
4669,"Sprzedaż hurtowa pozostałych maszyn i urządzeń"
6492,"Pozostałe formy udzielania kredytów"
7721,"Wypożyczanie i dzierżawa sprzętu rekreacyjnego i sportowego"
5020,"Transport morski i przybrzeżny towarów"
4313,"Wykonywanie wykopów i wierceń geologiczno-inżynierskich"
3319,"Naprawa i konserwacja pozostałego sprzętu i wyposażenia"
3250,"Produkcja urządzeń, instrumentów oraz wyrobów medycznych, włączając dentystyczne"
8531,"Gimnazja i licea ogólnokształcące"
5629,"Pozostała usługowa działalność gastronomiczna"
6020,"Nadawanie programów telewizyjnych ogólnodostępnych i abonamentowych"
4213,"Roboty związane z budową mostów i tuneli"
1629,"Produkcja pozostałych wyrobów z drewna; produkcja wyrobów z korka, słomy i materiałów używanych do wyplatania"
322,"Chów i hodowla ryb oraz pozostałych organizmów wodnych w wodach śródlądowych"
4641,"Sprzedaż hurtowa wyrobów tekstylnych"
1081,"Produkcja cukru"
2530,"Produkcja wytwornic pary, z wyłączeniem kotłów do centralnego ogrzewania gorącą wodą"
3291,"Produkcja mioteł, szczotek i pędzli"
311,"Rybołówstwo w wodach morskich"
1431,"Produkcja wyrobów pończoszniczych"
893,"Wydobywanie soli"
4777,"Sprzedaż detaliczna zegarków, zegarów i biżuterii prowadzona w wyspecjalizowanych sklepach"
1062,"Wytwarzanie skrobi i wyrobów skrobiowych"
2612,"Produkcja elektronicznych obwodów drukowanych"
4931,"Transport lądowy pasażerski, miejski i podmiejski"
2015,"Produkcja nawozów i związków azotowych"
7500,"DZIAŁALNOŚĆ WETERYNARYJNA"
116,"Uprawa roślin włóknistych"
2561,"Obróbka metali i nakładanie powłok na metale"
4613,"Działalność agentów zajmujących się sprzedażą drewna i materiałów budowlanych"
3821,"Obróbka i usuwanie odpadów innych niż niebezpieczne"
1082,"Produkcja kakao, czekolady i wyrobów cukierniczych"
4791,"Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet"
9321,"Działalność wesołych miasteczek i parków rozrywki"
2053,"Produkcja olejków eterycznych"
4621,"Sprzedaż hurtowa zboża, nieprzetworzonego tytoniu, nasion i pasz dla zwierząt"
8010,"Działalność ochroniarska, z wyłączeniem obsługi systemów bezpieczeństwa"
6512,"Pozostałe ubezpieczenia osobowe oraz ubezpieczenia majątkowe"
2432,"Produkcja wyrobów płaskich walcowanych na zimno"
8230,"Działalność związana z organizacją targów, wystaw i kongresów"
4941,"Transport drogowy towarów"
4752,"Sprzedaż detaliczna drobnych wyrobów metalowych, farb i szkła prowadzona w wyspecjalizowanych sklepach"
2446,"Wytwarzanie paliw jądrowych"
4622,"Sprzedaż hurtowa kwiatów i roślin"
1085,"Wytwarzanie gotowych posiłków i dań"
4671,"Sprzedaż hurtowa paliw i produktów pochodnych"
4661,"Sprzedaż hurtowa maszyn i urządzeń rolniczych oraz dodatkowego wyposażenia"
4646,"Sprzedaż hurtowa wyrobów farmaceutycznych i medycznych"
114,"Uprawa trzciny cukrowej"
1104,"Produkcja pozostałych niedestylowanych napojów fermentowanych"
2060,"Produkcja włókien chemicznych"
7022,"Pozostałe doradztwo w zakresie prowadzenia działalności gospodarczej i zarządzania"
2454,"Odlewnictwo pozostałych metali nieżelaznych"
4520,"Konserwacja i naprawa pojazdów samochodowych, z wyłączeniem motocykli"
124,"Uprawa drzew i krzewów owocowych ziarnkowych i pestkowych"
2433,"Produkcja wyrobów formowanych na zimno"
3020,"Produkcja lokomotyw kolejowych oraz taboru szynowego"
312,"Rybołówstwo w wodach śródlądowych"
4212,"Roboty związane z budową dróg szynowych i kolei podziemnej"
2550,"Kucie, prasowanie, wytłaczanie i walcowanie metali; metalurgia proszków"
3316,"Naprawa i konserwacja statków powietrznych i statków kosmicznych"
3103,"Produkcja materaców"
170,"Łowiectwo i pozyskiwanie zwierząt łownych, włączając działalność usługową"
2451,"Odlewnictwo żeliwa"
6520,"Reasekuracja"
8559,"Pozaszkolne formy edukacji, gdzie indziej niesklasyfikowane"
1072,"Produkcja sucharów i herbatników; produkcja konserwowanych wyrobów ciastkarskich i ciastek"
2319,"Produkcja i obróbka pozostałego szkła, włączając szkło techniczne"
4781,"Sprzedaż detaliczna żywności, napojów i wyrobów tytoniowych prowadzona na straganach i targowiskach"
2511,"Produkcja konstrukcji metalowych i ich części"
1712,"Produkcja papieru i tektury"
4719,"Pozostała sprzedaż detaliczna prowadzona w niewyspecjalizowanych sklepach"
2434,"Produkcja drutu"
8790,"Pozostała pomoc społeczna z zakwaterowaniem"
2512,"Produkcja metalowych elementów stolarki budowlanej"
4774,"Sprzedaż detaliczna wyrobów medycznych, włączając ortopedyczne, prowadzona w wyspecjalizowanych sklepach"
2442,"Produkcja aluminium"
1621,"Produkcja arkuszy fornirowych i płyt wykonanych na bazie drewna"
2041,"Produkcja mydła i detergentów, środków myjących i czyszczących"
2229,"Produkcja pozostałych wyrobów z tworzyw sztucznych"
7430,"Działalność związana z tłumaczeniami"
4618,"Działalność agentów specjalizujących się w sprzedaży pozostałych określonych towarów"
3220,"Produkcja instrumentów muzycznych"
4910,"Transport kolejowy pasażerski międzymiastowy"
8110,"Działalność pomocnicza związana z utrzymaniem porządku w budynkach"
2314,"Produkcja włókien szklanych"
4743,"Sprzedaż detaliczna sprzętu audiowizualnego prowadzona w wyspecjalizowanych sklepach"
9312,"Działalność klubów sportowych"
2361,"Produkcja wyrobów budowlanych z betonu"
162,"Działalność usługowa wspomagająca chów i hodowlę zwierząt gospodarskich"
3314,"Naprawa i konserwacja urządzeń elektrycznych"
3812,"Zbieranie odpadów niebezpiecznych"
2841,"Produkcja maszyn do obróbki metalu"
4399,"Pozostałe specjalistyczne roboty budowlane, gdzie indziej niesklasyfikowane"
4631,"Sprzedaż hurtowa owoców i warzyw"
9101,"Działalność bibliotek i archiwów"
127,"Uprawa roślin wykorzystywanych do produkcji napojów"
6630,"Działalność związana z zarządzaniem funduszami"
4531,"Sprzedaż hurtowa części i akcesoriów do pojazdów samochodowych, z wyłączeniem motocykli"
899,"Pozostałe górnictwo i wydobywanie, gdzie indziej niesklasyfikowane"
2453,"Odlewnictwo metali lekkich"
2399,"Produkcja pozostałych wyrobów z mineralnych surowców niemetalicznych, gdzie indziej niesklasyfikowana"
5320,"Pozostała działalność pocztowa i kurierska"
112,"Uprawa ryżu"
3099,"Produkcja pozostałego sprzętu transportowego, gdzie indziej niesklasyfikowana"
1051,"Przetwórstwo mleka i wyrób serów"
7912,"Działalność organizatorów turystyki"
4663,"Sprzedaż hurtowa maszyn wykorzystywanych w górnictwie, budownictwie oraz inżynierii lądowej i wodnej"
2349,"Produkcja pozostałych wyrobów ceramicznych"
811,"Wydobywanie kamieni ozdobnych oraz kamienia dla potrzeb budownictwa, skał wapiennych, gipsu, kredy i łupków"
1101,"Destylowanie, rektyfikowanie i mieszanie alkoholi"
5121,"Transport lotniczy towarów"
1330,"Wykończanie wyrobów włókienniczych"
4624,"Sprzedaż hurtowa skór"
620,"Górnictwo gazu ziemnego"
2219,"Produkcja pozostałych wyrobów z gumy"
130,"Rozmnażanie roślin"
4765,"Sprzedaż detaliczna gier i zabawek prowadzona w wyspecjalizowanych sklepach"
2312,"Kształtowanie i obróbka szkła płaskiego"
4619,"Działalność agentów zajmujących się sprzedażą towarów różnego rodzaju"
115,"Uprawa tytoniu"
3091,"Produkcja motocykli"
8291,"Działalność świadczona przez agencje inkasa i biura kredytowe"
4729,"Sprzedaż detaliczna pozostałej żywności prowadzona w wyspecjalizowanych sklepach"
2014,"Produkcja pozostałych podstawowych chemikaliów organicznych"
520,"Wydobywanie węgla brunatnego (lignitu)"
7219,"Badania naukowe i prace rozwojowe w dziedzinie pozostałych nauk przyrodniczych i technicznych"
4741,"Sprzedaż detaliczna komputerów, urządzeń peryferyjnych i oprogramowania prowadzona w wyspecjalizowanych sklepach"
1729,"Produkcja pozostałych wyrobów z papieru i tektury"
2660,"Produkcja urządzeń napromieniowujących, sprzętu elektromedycznego i elektroterapeutycznego"
2751,"Produkcja elektrycznego sprzętu gospodarstwa domowego"
5914,"Działalność związana z projekcją filmów"
9609,"Pozostała działalność usługowa, gdzie indziej niesklasyfikowana"
143,"Chów i hodowla koni i pozostałych zwierząt koniowatych"
3513,"Dystrybucja energii elektrycznej"
113,"Uprawa warzyw, włączając melony oraz uprawa roślin korzeniowych i roślin bulwiastych"
1091,"Produkcja gotowej paszy dla zwierząt gospodarskich"
2892,"Produkcja maszyn dla górnictwa i do wydobywania oraz budownictwa"
6201,"Działalność związana z oprogramowaniem"
1011,"Przetwarzanie i konserwowanie mięsa, z wyłączeniem mięsa z drobiu"
4672,"Sprzedaż hurtowa metali i rud metali"
4763,"Sprzedaż detaliczna nagrań dźwiękowych i audiowizualnych prowadzona w wyspecjalizowanych sklepach"
4612,"Działalność agentów zajmujących się sprzedażą paliw, rud, metali i chemikaliów przemysłowych"
2051,"Produkcja materiałów wybuchowych"
1399,"Produkcja pozostałych wyrobów tekstylnych, gdzie indziej niesklasyfikowana"
6910,"Działalność prawnicza"
4723,"Sprzedaż detaliczna ryb, skorupiaków i mięczaków prowadzona w wyspecjalizowanych sklepach"
2351,"Produkcja cementu"
3109,"Produkcja pozostałych mebli"
5222,"Działalność usługowa wspomagająca transport wodny"
1061,"Wytwarzanie produktów przemiału zbóż"
4673,"Sprzedaż hurtowa drewna, materiałów budowlanych i wyposażenia sanitarnego"
9104,"Działalność ogrodów botanicznych i zoologicznych oraz obszarów i obiektów ochrony przyrody"
2013,"Produkcja pozostałych podstawowych chemikaliów nieorganicznych"
4211,"Roboty związane z budową dróg i autostrad"
4299,"Roboty związane z budową pozostałych obiektów inżynierii lądowej i wodnej, gdzie indziej niesklasyfikowane"
8422,"Obrona narodowa"
6399,"Pozostała działalność usługowa w zakresie informacji, gdzie indziej niesklasyfikowana"
6203,"Działalność związana z zarządzaniem urządzeniami informatycznymi"
5821,"Działalność wydawnicza w zakresie gier komputerowych"
9700,"GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW"
2362,"Produkcja wyrobów budowlanych z gipsu"
1624,"Produkcja opakowań drewnianych"
4782,"Sprzedaż detaliczna wyrobów tekstylnych, odzieży i obuwia prowadzona na straganach i targowiskach"
3211,"Produkcja monet"
9103,"Działalność historycznych miejsc i budynków oraz podobnych atrakcji turystycznych"
4339,"Wykonywanie pozostałych robót budowlanych wykończeniowych"
6420,"Działalność holdingów finansowych"
7820,"Działalność agencji pracy tymczasowej"
2344,"Produkcja pozostałych technicznych wyrobów ceramicznych"
1411,"Produkcja odzieży skórzanej"
1439,"Produkcja pozostałej odzieży dzianej"
150,"Uprawy rolne połączone z chowem i hodowlą zwierząt (działalność mieszana)"
7320,"Badanie rynku i opinii publicznej"
7220,"Badania naukowe i prace rozwojowe w dziedzinie nauk społecznych i humanistycznych"
